21:23:57  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  58
21:23:57  |  Core  |  Info  |  Load ini file 'core_keyboard.xml'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  123
21:23:57  |  Core  |  Error  |  ResourceManager : 'core_keyboard.xml', delegate for type 'Lang'not found  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  187
21:23:57  |  Core  |  Info  |  Load ini file 'core_language.xml'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  123
21:23:57  |  Core  |  Info  |  Load ini file 'core_layer.xml'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  123
21:23:57  |  Core  |  Info  |  Load ini file 'core_font.xml'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  123
21:23:57  |  Core  |  Info  |  ResourceTrueTypeFont 'Default' using texture size 512 x 256  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  202
21:23:57  |  Core  |  Info  |  ResourceTrueTypeFont 'Default' using real height 17 pixels  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  203
21:23:57  |  Core  |  Info  |  ResourceTrueTypeFont 'DejaVuSans.17' using texture size 256 x 256  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  202
21:23:57  |  Core  |  Info  |  ResourceTrueTypeFont 'DejaVuSans.17' using real height 17 pixels  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  203
21:23:57  |  Core  |  Info  |  ResourceTrueTypeFont 'DejaVuSans.14' using texture size 256 x 256  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  202
21:23:57  |  Core  |  Info  |  ResourceTrueTypeFont 'DejaVuSans.14' using real height 14 pixels  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  203
21:23:57  |  Core  |  Info  |  Load ini file 'core_theme.xml'  |  /home/mononofu/Programmieren/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  123
